## file created 24.Feb.2016 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 45285C0B   0  15   t    3       4          4              1      HE    23    11      2
 45185C0B   0  15   t    3       4          4              2      HE    23    11      1
 45284C0B   0  15   t    3       4          5              0      HE    19    11      2
 4518500B   0  15   t    3       4          5              1      HE    20    11      1
 4528580B   0  15   t    3       4          5              2      HE    22    11      2
 45184C0B   0  15   t    3       4          6              0      HE    19    11      1
 4528500B   0  15   t    3       4          6              1      HE    20    11      2
 4518580B   0  15   t    3       4          6              2      HE    22    11      1
 45284C0C   0  15   t    3       4          7              0      HE    19    12      2
 4518500C   0  15   t    3       4          7              1      HE    20    12      1
 4528540B   0  15   t    3       4          7              2      HE    21    11      2
 45184C0C   0  15   t    3       4          8              0      HE    19    12      1
 4528500C   0  15   t    3       4          8              1      HE    20    12      2
 4518540B   0  15   t    3       4          8              2      HE    21    11      1
 45186C0D   0  15   b    3       5          1              0      HE    27    13      1
 45286C0D   0  15   b    3       5          1              1      HE    27    13      2
 4528740D   0  15   b    3       5          1              2      HE    29    13      2
 45386C0D   0  15   b    3       5          2              0      HE    27    13      3
 45285C0D   0  15   b    3       5          2              1      HE    23    13      2
 45185C0D   0  15   b    3       5          2              2      HE    23    13      1
 4518700D   0  15   b    3       5          3              0      HE    28    13      1
 4528700D   0  15   b    3       5          3              1      HE    28    13      2
 4518740D   0  15   b    3       5          3              2      HE    29    13      1
 4538700D   0  15   b    3       5          4              0      HE    28    13      3
 4528600D   0  15   b    3       5          4              1      HE    24    13      2
 4518600D   0  15   b    3       5          4              2      HE    24    13      1
 45284C0D   0  15   b    3       5          5              0      HE    19    13      2
 4518500D   0  15   b    3       5          5              1      HE    20    13      1
 4528540D   0  15   b    3       5          5              2      HE    21    13      2
 45184C0D   0  15   b    3       5          6              0      HE    19    13      1
 4528500D   0  15   b    3       5          6              1      HE    20    13      2
 4518540D   0  15   b    3       5          6              2      HE    21    13      1
 45284C0E   0  15   b    3       5          7              0      HE    19    14      2
 4518500E   0  15   b    3       5          7              1      HE    20    14      1
 4528580D   0  15   b    3       5          7              2      HE    22    13      2
 45184C0E   0  15   b    3       5          8              0      HE    19    14      1
 4528500E   0  15   b    3       5          8              1      HE    20    14      2
 4518580D   0  15   b    3       5          8              2      HE    22    13      1
 43182C0F   0  16   t    3       6          1              0      HB    11    15      1
 43181C0F   0  16   t    3       6          1              1      HB     7    15      1
 43180C0F   0  16   t    3       6          1              2      HB     3    15      1
 4318140F   0  16   t    3       6          2              0      HB     5    15      1
 4318040F   0  16   t    3       6          2              1      HB     1    15      1
 4318240F   0  16   t    3       6          2              2      HB     9    15      1
 43182C10   0  16   t    3       6          3              0      HB    11    16      1
 43181C10   0  16   t    3       6          3              1      HB     7    16      1
 43180C10   0  16   t    3       6          3              2      HB     3    16      1
 43181410   0  16   t    3       6          4              0      HB     5    16      1
 43180410   0  16   t    3       6          4              1      HB     1    16      1
 43182410   0  16   t    3       6          4              2      HB     9    16      1
 4318280F   0  16   t    3       6          5              0      HB    10    15      1
 4318180F   0  16   t    3       6          5              1      HB     6    15      1
 4318080F   0  16   t    3       6          5              2      HB     2    15      1
 4318200F   0  16   t    3       6          6              0      HB     8    15      1
 4318100F   0  16   t    3       6          6              1      HB     4    15      1
 4318300F   0  16   t    3       6          6              2      HB    12    15      1
 43182810   0  16   t    3       6          7              0      HB    10    16      1
 43181810   0  16   t    3       6          7              1      HB     6    16      1
 43180810   0  16   t    3       6          7              2      HB     2    16      1
 43182010   0  16   t    3       6          8              0      HB     8    16      1
 43181010   0  16   t    3       6          8              1      HB     4    16      1
 43183010   0  16   t    3       6          8              2      HB    12    16      1
